_editors_choice,_game_types,_comments,_price,_updated,_size,_installs,_version,_required_android,_content_rating,_interactive_elements,_in_app_products,_offered_by,_developer
0,"['Rockstar Games', 'Arcade']","1,57,483 total",₹121.00 Buy,6 February 2019,7.3M,"1,000,000+",1.09,7.0 and up,"Rated for 18+
Extreme violence
Learn more",none,none,Rockstar Games,"Visit website
ViceCity_AndroidSupport@rockstargames.com
Privacy Policy
622 Broadway 6th Floor New York NY 10012"
0,"['Best Free Games Inc.', 'Racing']","23,326 total",₹10.00 Buy,22 August 2016,37M,"500,000+",1.5,4.0.3 and up,"Rated for 3+
Learn more",Digital purchases,₹10.00 – ₹200.00 per item,Best Free Games Inc.,"Visit website
pr@bestfreegames.mobi
Privacy Policy
4905 201 Street Langley, BC, V3A 0H1 Canada"
Editors' Choice,"['Mojang', 'Arcade']","37,95,238 total",₹479.56 Buy,2 December 2020,Varies with device,"10,000,000+",1.16.200.02,Varies with device,"Rated for 7+
Fear, Mild violence
Learn more",Users interact,"₹24.80 – ₹4,050.00 per item",Mojang,"Visit website
help@minecraft.net
Privacy Policy
Mojang Maria Skolgata 83 118 53 Stockholm Sweden"
0,"['RORTOS', 'Simulation']","70,448 total",₹29.00 Buy,24 November 2020,60M,"1,000,000+",1.2.3,4.3 and up,"Rated for 3+
Learn more",Digital purchases,"₹319.00 – ₹2,349.00 per item",RORTOS,"Visit website
rfs@rortos.com
Privacy Policy
Via del Pontiere 11 37122 Verona VR Italy"
Editors' Choice,"['SQUARE ENIX LTD', 'Action']","8,35,484 total",₹30.00 Buy,24 August 2020,48M,"10,000,000+",1.7.193827,4.1 and up,"Rated for 18+
Extreme violence
Learn more","Shares info, Digital purchases","₹77.55 – ₹4,000.00 per item",SQUARE ENIX LTD,"Visit website
support@square-enix-montreal.mail.helpshift.com
Privacy Policy
240 Blackfriars Road London SE1 8NW United Kingdom"
0,"['Rockstar Games', 'Action']","5,62,128 total",₹182.00 Buy,13 April 2019,15M,"1,000,000+",2.00,7.0 and up,"Rated for 18+
Extreme violence, Gambling
Learn more",none,none,Rockstar Games,"Visit website
sanandreasandroidsupport@rockstargames.com
Privacy Policy
622 Broadway 6th Floor New York NY 10012"
0,"['Not Doppler', 'Racing']","86,638 total",₹10.00 Buy,26 February 2016,49M,"1,000,000+",1.0.29,2.2 and up,"Rated for 12+
Moderate violence
Learn more",none,none,Not Doppler,"Visit website
android.support@notdoppler.com
Privacy Policy
Suite 1106, Level 11, 250 Pitt Street, Sydney, NSW, 2000, Australia"
0,"['ZITGA', 'Action']","2,22,419 total",₹15.00 Buy,27 November 2020,103M,"10,000,000+",2.4.72,5.0 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹10.00 – ₹1,700.00 per item",ZITGA,"StickmanLegends@zitga.com.vn
Privacy Policy
360 Giai Phong, Thanh Xuan, Hanoi, Vietnam"
0,"['AGaming+', 'Action']","27,089 total",₹20.00 Buy,20 November 2020,Varies with device,"500,000+",1.9.8,4.4 and up,"Rated for 16+
Strong violence
Learn more",Digital purchases,"₹15.00 – ₹1,650.00 per item",AGaming+,"Visit website
goodmodding.pc@gmail.com
Privacy Policy
Ukraine, Kiev region., 07400 Brovary Karalenka"
0,"['Ray Spark', 'Action']","2,567 total",₹85.00 ₹15.00 Buy,13 December 2019,34M,"50,000+",1.48,4.4 and up,"Rated for 16+
Strong violence
Learn more",In-game purchases,₹65.00 per item,Ray Spark,"venomizedart@gmail.com
Privacy Policy
129626, г. Москва, Графский переулок, дом 14, строение 2, 4 этаж"
0,"['Rockstar Games', 'Action']","1,03,940 total",₹121.00 Buy,10 June 2019,12M,"1,000,000+",1.8,7.0 and up,"Rated for 18+
Extreme violence
Learn more",none,none,Rockstar Games,"Visit website
GTA3AndroidSupport@rockstargames.com
Privacy Policy
622 Broadway 6th Floor New York NY 10012"
0,"['Studio NAP', 'Strategy']","50,821 total",₹10.00 Buy,13 November 2020,31M,"1,000,000+",3.78,4.0.3 and up,"Rated for 3+
Learn more",In-game purchases,"₹10.00 – ₹6,700.00 per item",Studio NAP,"Visit website
sachoi1103@gmail.com
Privacy Policy
서울특별시 동대문구 장안동 139-30"
0,"['Infinite Flight LLC', 'Simulation']","69,094 total",₹85.00 Buy,5 November 2020,145M,"500,000+",20.02.01,6.0 and up,"Rated for 3+
Learn more",Digital purchases,"₹299.99 – ₹6,800.00 per item",Infinite Flight LLC,"Visit website
hello@infiniteflight.com
Privacy Policy
691 S. Milpitas Blvd., Suite 212 Milpitas, CA 95035"
0,"['Reliance Big Entertainment (UK) Private Limited', 'Action']","30,458 total",₹30.00 Buy,12 November 2020,42M,"500,000+",1.84.35,4.1 and up,"Rated for 7+
Mild violence
Learn more","Users interact, Shares info, Digital purchases","₹60.00 – ₹7,100.00 per item",Reliance Big Entertainment (UK) Private Limited,"Visit website
support@reliancegames.com
Privacy Policy
Reliance Big Entertainment (UK) Private Limited Codemasters Campus, Stoneythorpe, Southam, Warwickshire – CV47 2DL"
0,"['Bravestars Games', 'Action']","2,37,048 total",₹28.00 Buy,2 December 2020,174M,"10,000,000+",1.94.2.0,5.0 and up,"Rated for 7+
Mild violence
Learn more",Digital purchases,"₹28.00 – ₹6,300.00 per item",Bravestars Games,"Visit website
support.sod@bravestars.com
Privacy Policy
Thanh Xuan Complex, No.6, Le Van Thiem, Thanh Xuan Trung, Thanh Xuan, Hanoi"
0,"['Ubisoft Entertainment', 'Action']","67,226 total",₹159.00 Buy,7 November 2018,69M,"1,000,000+",2.8.3_007,4.1 and up,"Rated for 16+
Strong violence
Learn more",Digital purchases,"₹120.00 – ₹6,200.00 per item",Ubisoft Entertainment,"Visit website
aci-support-oce-en@assassinscreedidentity.com
Privacy Policy
UBISOFT MOBILE GAMES 38-42 rue Cuvier 93100 Montreuil Sous Bois FRANCE"
Editors' Choice,"['D3 Go!', 'Adventure']","9,362 total",₹29.00 Buy,21 March 2019,31M,"100,000+",2.0,4.3 and up,"Rated for 12+
Horror
Learn more",none,none,D3 Go!,"Visit website
support@d3go.com
Privacy Policy
15910 Ventura Blvd., Suite 800 Encino, CA 91436"
0,"['Fireproof Games', 'Puzzle']","2,60,480 total",₹65.00 Buy,8 December 2015,Varies with device,"1,000,000+",Varies with device,2.3 and up,"Rated for 7+
Fear
Learn more",none,none,Fireproof Games,"Visit website
info@fireproofgames.com
Privacy Policy
Hays House Millmead Guildford GU2 4HJ United Kingdom"
0,"['Rockstar Games', 'Action']","31,872 total",₹182.00 Buy,5 December 2018,11M,"100,000+",1.0.0.18,8.0 and up,"Rated for 16+
Strong violence
Learn more",none,none,Rockstar Games,"Visit website
support@Rockstargames.com
Privacy Policy
622 Broadway 6th Floor New York NY 10012"
0,"['Marmalade Game Studio', 'Board']","47,391 total",₹350.00 Buy,3 December 2020,162M,"500,000+",1.3.3,5.0 and up,"Rated for 3+
Learn more",In-game purchases,"₹190.00 – ₹3,300.00 per item",Marmalade Game Studio,"Visit website
contactus@marmalademail.com
Privacy Policy
33 Charlotte Street Fitzrovia London W1T 1RR United Kingdom"
0,"['TOPEBOX', 'Adventure']","29,511 total",₹21.00 Buy,21 August 2020,Varies with device,"1,000,000+",4.2.9,4.2 and up,"Rated for 3+
Learn more",Digital purchases,₹21.00 – ₹636.00 per item,TOPEBOX,"Visit website
tope@topebox.com
Privacy Policy
53, Street No.3, Cityland Center Hills, Ward 7, Go Vap District, HCMC, Vietnam"
0,"['NEKKI', 'Arcade']","38,586 total",₹59.00 Buy,18 September 2020,91M,"500,000+",1.2.1,4.0 and up,"Rated for 7+
Mild violence
Learn more",Digital purchases,₹53.04 – ₹266.47 per item,NEKKI,"Visit website
support@nekki.mail.helpshift.com
Privacy Policy
116 Gladstonos Street M. KYPRIANOU HOUSE, 3&4 floor, 3032, Limassol, Cyprus."
0,"['Rockstar Games', 'Arcade']","36,697 total",₹121.00 Buy,24 July 2019,11M,"500,000+",1.7,7.0 and up,"Rated for 18+
Extreme violence
Learn more",none,none,Rockstar Games,"Visit website
MaxPayne_AndroidSupport@rockstargames.com
Privacy Policy
622 Broadway 6th Floor New York NY 10012"
0,"['Play365', 'Racing']",271 total,₹10.00 Buy,11 January 2016,30M,"10,000+",1.0.2,2.3 and up,"Rated for 16+
Strong violence
Learn more","Users interact, Shares info, Digital purchases",₹10.00 – ₹80.00 per item,Play365,"TameikaHastin@gmail.com
Privacy Policy
9709 Kenneth Oren drive Charlotte, NC 28213 United States"
0,"['InfinityGames.io', 'Simulation']","6,277 total",₹70.00 Buy,1 September 2020,84M,"100,000+",6.7,5.0 and up,"Rated for 3+
Learn more",none,none,InfinityGames.io,"Visit website
support@infinitygames.io
Privacy Policy
Rua Alves Redol, 3B 2675-285, Odivelas Portugal"
0,"['ZigZaGame Inc.', 'Role Playing']","1,01,674 total",₹10.00 Buy,28 November 2020,97M,"1,000,000+",2.16.1,4.1 and up,"Rated for 7+
Mild violence
Learn more","Users interact, Digital purchases","₹60.00 – ₹4,900.00 per item",ZigZaGame Inc.,"Visit website
shopsupport@zigzagame.net
Privacy Policy
NT Building 11F, Oi 1-47-1 Shinagawa-ku Tokyo, 140-0014 Japan"
0,"['Blue Brain Games s.r.o.', 'Puzzle']","27,998 total",₹80.00 Buy,15 July 2020,Varies with device,"100,000+",1.0.6,Varies with device,"Rated for 7+
Fear
Learn more",none,none,Blue Brain Games s.r.o.,"Visit website
davinci@bluebraingames.com
Privacy Policy
Sabinovska 8 821 02 Bratislava Slovak Republic"
