editors_choice,game_types,comments,price,updated,size,installs,required_android,content_rating,game_features,interactive_elements,in_app_products_avg,has_website
0,arcade,157483,12100,2019,7,1000000,7,18,1,0,0,1
0,racing,23326,1000,2016,37,500000,4,3,0,1,10500,1
1,arcade,3795238,47956,2020,68,10000000,4,7,2,1,203740,1
0,simulation,70448,2900,2020,60,1000000,4,3,0,1,133400,1
1,action,835484,3000,2020,48,10000000,4,18,1,2,203877,1
0,action,562128,18200,2019,15,1000000,7,18,2,0,0,1
0,racing,86638,1000,2016,49,1000000,2,12,1,0,0,1
0,action,222419,1500,2020,103,10000000,5,12,1,1,85500,0
0,action,27089,2000,2020,68,500000,4,16,1,1,83250,1
0,action,2567,1500,2019,34,50000,4,16,1,1,3250,0
0,action,103940,12100,2019,12,1000000,7,18,1,0,0,1
0,strategy,50821,1000,2020,31,1000000,4,3,0,1,335500,1
0,simulation,69094,8500,2020,145,500000,6,3,0,1,354999,1
0,action,30458,3000,2020,42,500000,4,7,1,3,358000,1
0,action,237048,2800,2020,174,10000000,5,7,1,1,316400,1
0,action,67226,15900,2018,69,1000000,4,16,1,1,316000,1
1,adventure,9362,2900,2019,31,100000,4,12,1,0,0,1
0,puzzle,260480,6500,2015,68,1000000,2,7,1,0,0,1
0,action,31872,18200,2018,11,100000,8,16,1,0,0,1
0,board,47391,35000,2020,162,500000,5,3,0,1,174500,1
0,adventure,29511,2100,2020,68,1000000,4,3,0,1,32850,1
0,arcade,38586,5900,2020,91,500000,4,7,1,1,15975,1
0,arcade,36697,12100,2019,11,500000,7,18,1,0,0,1
0,racing,271,1000,2016,30,10000,2,16,1,3,4500,0
0,simulation,6277,7000,2020,84,100000,5,3,0,0,0,1
0,roleplaying,101674,1000,2020,97,1000000,4,7,1,2,248000,1
0,puzzle,27998,8000,2020,68,100000,4,7,1,0,0,1
0,simulation,6315,43000,2020,129,100000,5,3,0,0,0,1
0,action,1371,2000,2020,124,100000,5,3,0,1,181800,0
0,action,13987,11903,2015,1,100000,2,18,2,0,0,1
1,strategy,48661,3000,2020,45,100000,5,7,1,0,281500,1
0,puzzle,14169,50000,2020,40,100000,5,3,0,0,0,1
0,simulation,50072,6700,2019,52,1000000,4,3,0,1,12607,1
0,arcade,88356,5000,2020,68,1000000,4,3,0,1,158000,1
0,strategy,119636,3000,2020,68,1000000,4,7,1,0,61000,1
0,action,6892,3000,2020,47,1000000,4,7,1,1,328250,1
0,simulation,91,5000,2020,54,1000,4,3,0,0,0,0
0,roleplaying,283632,1000,2020,71,1000000,4,12,1,2,313950,1
